street,house
К.Маркса, 108а
Селекционная станция, 1
Селекционная станция, 2
Селекционная станция, 3
Селекционная станция, 6
Селекционная станция, 7
Селекционная станция, 8
Объездная, 15
Советская, 10 а
Ленина, 242
Ленина, 246
Советская, 16/1
Лермонтова, 177
Орджоникидзе, 79
Гражданская, 1-б
К.Маркса, 37
Дзержинского, 41
Войтика, 4/1
К.Хетагурова, 18а
К.Маркса, 93
Орджоникидзе, 69
К.Маркса, 37/1
Вокзальная, 46
Гражданская, 3а
Р.Люксембург, 3
М.Морозова, 20
Беличенко, 3
Пригородная, 213
Войтика, 25
Дзержинского, 141
Дзержинского, 197
Дзержинского, 211
Дзержинского, 213-а
К.Маркса, 10
Орджоникидзе, 1
Орджоникидзе, 1а
Пригородная, 201
Пригородная, 205
Пригородная, 207
Пригородная, 211/2
Пригородная, 215/1
Пригородная, 223
Трунова, 134
Трунова, 136
Чапаева, 17б
Пригородная, 56
Пригородная, 167
Пригородная, 199
Пригородная, 203
К.Маркса, 98
Дзержинского, 195
Парижской Коммуны, 54
Пригородная, 215/3
Трунова, 103
Пригородная, 215/2
Дзержинского, 153-б
Дзержинского, 207-а
Пригородная, 213/3
Пригородная, 211/3
Дзержинского, 179
Дзержинского, 153-а;24.мар;;;
Дзержинского, 211-а
Орджоникидзе, 83
Дзержинского, 159
Пригородная, 225/1
К.Маркса, 84
Пригородная, 211/1
К.Маркса, 72/1
Пригородная, 237
Объездная, 9
Октябрьская, 130
Чапаева, 7
Октябрьская, 188/2
Голенева, 6а
Голенева, 39
К. Маркса, 77
Лесная, 153
Лесная, 153/1
Лесная, 155
Лесная, 159
Лесная, 161
Лесная, 163
Октябрьская, 186/1
Октябрьская, 186/2
Октябрьская, 186/3
Октябрьская, 186/4 
Октябрьская, 227
Руставелли, 34а
Чапаева, 17а
Чапаева, 7
Советская, 5
Чукотский, 12
Чукотский, 14;2;-;8;
Чукотский, 16а
Октябрьской Революции, 5
Дзержинского, 173
Чехова, 83
Врачебный, 43
Чапаева, 11
Полеводческая, 4
Полеводческая, 5
Полеводческая, 6
Полеводческая, 7
Полеводческая, 9
Полеводческая, 11
Полеводческая, 3
Полеводческая, 8
Полеводческая, 10
Полеводческая, 13
Полеводческая, 1
Полеводческая, 2
пл. Орджоникидзе, 2
Войтика, 27
Гвардейский, 10
Мира, 461
Доваторцев, 32 а
К.Маркса, 72
Л.Толстого, 6
Орджоникидзе, 4/1
Ленина, 74/17
Мира, 465
Пригородная, 225
Мира, 457
Орджоникидзе, 2-а
Ленина, 399
Артема, 7-а
Чапаева, 5
Гризодубовой, 27
Парижской Коммуны, 54 б
Бакинская, 37
Бакинская, 39
К. Маркса, 6
Гражданская, 3
Советская, 1
Горького, 40
Пригородная, 195
Орджоникидзе, 2/1
Полеводческая, 12
К.Маркса, 8
Орджоникидзе, 4
Ленина, 407
Макарова, 8/1
Ленина, 401
Ленина, 405
Мира, 280/7
Ботанический, 15
Ленина, 397/9
М.Морозова, 103
Ленина, 466/1
Бруснева, 12
Ленина, 403
Ботанический, 2
Ленина, 406
Васильева, 19
Юности, 1/3
Кулакова, 29
Макарова, 16
Ленина, 472/1
Ленина, 470
Ленина, 397/5
Мира, 264
Бруснева, 13
Макарова, 20 (1оч.)
Ленина, 409
Ленина, 397/3
Пржевальского, 21
Ботанический, 15 а
Макарова, 8
Гагарина, 20
Ботанический, 1
Мира, 266/3
Октябрьская, 229/1
Пржевальского, 13
Шпаковская, 70/1
Ленина, 397/1
Макарова, 8/2
Юности, 30
Приозерная, 2
Макарова, 12/1
Лермонтова, 343
Краснофлотская, 85
Лесная, 157А
Мира, 429
Л.Толстого, 51а
Лермонтова, 341
Октябрьская, 233/3
Октябрьская, 233/8
Ленина, 351
Ленина, 397/7
Ленина, 397А
Братский, 9
Ленина, 482/1
Дзержинского, 230
Ленина, 466/2
Ленина, 359
Л.Толстого, 45
Октябрьская, 186/5
Короленко, 23
Лермонтова, 212
Доваторцев, 9
Ленина, 482
Ленина, 484а
Мира, 437
Ленина, 299
Ленина, 397/2
Пржевальского, 2
Ботанический, 7 А
Макарова, 20 (2оч.)
Буйнакского, 10
Федеральная, 16-Б
Ленина, 456/1
Октябрьская, 190
Юности, 36а
Макарова, 18/1
Макарова, 10/1
Бруснева, 15/1
Кулакова, 47/6
Доваторцев, 84/1
Кулакова, 49/1
Макарова, 26 Б
Кулакова, 49/2
Юности, 18
Васильева, 12А;1;-;4;
Юности, 16
Юности, 38
Юности, 44/2
Юности, 48
Васильева, 27
Васильева, 29
Васякина, 125
Васякина, 127
Шеболдаева, 9
Васильева, 33
Дзержинского, 226
Семашко, 4/2
Семашко, 8
Ленина, 369
Дзержинского, 233
Дзержинского, 228
М.Морозова, 106
Томский, 4
Томский, 6
Томский, 9;кв.;2;-;18
Л.Толстого, 13
Л.Толстого, 3
Ленина, 367
Ленина, 375
Ленина, 380
Ленина, 389
М.Морозова, 104
М.Морозова, 94
Семашко, 6/2
Социалистическая, 9
Томский, 11
Ленина, 377
М.Морозова, 54А
Юности, 32
Юности, 44/1
Юности, 14
Юности, 20
Юности, 40
Юности, 46
Юности, 48/1
Васильева, 10
Васильева, 12
