street,house
50 лет ВЛКСМ, 16/6
50 лет ВЛКСМ, 16/2
Андреевская, 2
45 Параллель, 4/2
Фроленко, 10
Доваторцев, 15
Фроленко, 8
50 лет ВЛКСМ, 16/3
Бруснева, 4/1
45 Параллель, 3/1
45 Параллель, 5/2
45 Параллель, 3/2
50 лет ВЛКСМ, 36/2
50 лет ВЛКСМ, 28/3
50 лет ВЛКСМ, 22
50 лет ВЛКСМ, 40/3
50 лет ВЛКСМ, 54/2
50 лет ВЛКСМ, 58/1
50 лет ВЛКСМ, 58/3
Доваторцев, 63/1
Доваторцев, 69/3
Доваторцев, 71/1
Доваторцев, 51/1
Доваторцев, 65/2
Доваторцев, 65/3
Доваторцев, 63/2
Доваторцев, 63/3
Доваторцев, 67/2
Доваторцев, 51/2
Доваторцев, 57/1
Доваторцев, 57/4
Доваторцев, 65/1
Серова, 4/2
Доваторцев, 69/4
50 лет ВЛКСМ, 24/2
Тухачевского, 5/2
Пирогова, 56
50 лет ВЛКСМ, 44/2
50 лет ВЛКСМ, 42/2
50 лет ВЛКСМ, 46/1
50 лет ВЛКСМ, 32/3
50 лет ВЛКСМ, 20/4
Доваторцев, 59/1
Шпаковская, 94/2
50 лет ВЛКСМ, 2/5
Доваторцев, 57/3
50 лет ВЛКСМ, 28/5
50 лет ВЛКСМ, 28/4
50 лет ВЛКСМ, 62/1
Ленина, 464
Ленина, 474
Доваторцев, 69/1
Пирогова, 64/2
45 Параллель, 7/2
50 лет ВЛКСМ, 50/1
Доваторцев, 69/2
Ворошилова, 9/2
Тельмана, 234/1А
Пирогова, 48/3
Беличенко, 6
Пирогова, 64/5
Пирогова, 54
50 лет ВЛКСМ, 107
Ботанический, 3-А
Доваторцев, 13
50 лет ВЛКСМ, 60
50 лет ВЛКСМ, 3/4
Семашко, 14/1
Бруснева, 2А
Ленинградский, 24
Объездная, 3/1
9 Января, 8а
9 Января, 4
Серова, 7
Шпаковская, 86/3
50 лет ВЛКСМ, 111
Ленина, 328/4
Ленина, 328/25
Доваторцев, 34-а
Пирогова, 62/5
50 лет ВЛКСМ, 54/1
50 лет ВЛКСМ, 53/1
50 лет ВЛКСМ, 53/6
50 лет ВЛКСМ, 36/4
50 лет ВЛКСМ, 53/3
Фроленко, 12
Мира, 358
45 Параллель, 2
Фроленко, 22
45 Параллель, 4/1
50 лет ВЛКСМ, 39/1
50 лет ВЛКСМ, 51/2
50 лет ВЛКСМ, 67/1
50 лет ВЛКСМ, 67/4
50 лет ВЛКСМ, 35/2
50 лет ВЛКСМ, 71/2
50 лет ВЛКСМ, 77
Пирогова, 38/1
Пирогова, 34/3
Доваторцев, 49/1
50 лет ВЛКСМ, 39/2
Пирогова, 38/4
Пирогова, 48/1
Тухачевского, 3/1
Доваторцев, 44/1
Доваторцев, 19
Л.Толстого, 117
Доваторцев, 27
Доваторцев, 25-А
Доваторцев, 46/2
Доваторцев, 39
Некрасова, 84
Фроленко, 20
Фестивальный, 9
Доваторцев, 11
Доваторцев, 45
Шпаковская, 74/3
Пирогова, 46/2 (2оч)
Фроленко, 16
Пирогова, 36  Б
Пирогова, 38 Б
Пирогова, 26/3
Шпаковская, 86/2
Пирогова, 5/1
Доваторцев, 59/2
Ворошилова, 10/3
Пирогова, 50/2
Пирогова, 50/1
Пирогова, 64/3
Пирогова, 68/4
Пирогова, 64/1
50 лет ВЛКСМ, 32/2
Фроленко, 14
50 лет ВЛКСМ, 79
50 лет ВЛКСМ, 35/4
Пирогова, 68/1
Пирогова, 38/3
Доваторцев, 46/3
Доваторцев, 55
Лермонтова, 295
50 лет ВЛКСМ, 3/5
50 лет ВЛКСМ, 7/2
50 лет ВЛКСМ, 23/1
50 лет ВЛКСМ, 35/3
Ворошилова, 3/1
Ворошилова, 4/3
Шпаковская, 90/1
Шпаковская, 94/3
Тухачевского, 7/2
Серова, 9 А
Беличенко, 4
Ворошилова, 3/2а
Ворошилова, 5а
Ворошилова, 10/1
Ворошилова, 12/1
Ворошилова, 12/2
Ленина, 397/4
Пирогова, 18/1
Пирогова, 26/1
Пирогова, 26/4
Пирогова, 32
Тухачевского, 9/1
Тухачевского, 9/4
Тухачевского, 9/5
Тухачевского, 11
Шпаковская, 92/2
Шпаковская, 92/3
Шпаковская, 94/1
Шпаковская, 94/4
50 лет ВЛКСМ, 7/4
50 лет ВЛКСМ, 7/5
50 лет ВЛКСМ, 23/5
50 лет ВЛКСМ, 25/7
Ворошилова, 4/2
Ворошилова, 7/3
Ворошилова, 10/4
Ворошилова, 10/5
Ворошилова, 4/1
Ворошилова, 7/1
Ворошилова, 13/1
Ворошилова, 13/3
Пирогова, 28
Пирогова, 18/3
Пирогова, 62/4
Шпаковская, 111
Шпаковская, 92/1
фроленко, 18
Серова, 9
50 лет ВЛКСМ, 23/2
50 лет ВЛКСМ, 3/2
50 лет ВЛКСМ, 23/4
50 лет ВЛКСМ, 75
Тельмана, 241
Тухачевского, 7/4
